geotiff_path,folder,name,id_sample,date,tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F017_V003/V1KRNP____19990910F017_V003.tif,V1KRNP____19990910F017_V003,V1KRNP____19990910F017_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F017_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F017_V003/V1KRNP____19990910F017_V003_cloud_mask_cnn.tif,V1KRNP____19990910F017_V003,V1KRNP____19990910F017_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F017_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F017_V003/V1KRNP____19990910F017_V003_cloud_mask.tif,V1KRNP____19990910F017_V003,V1KRNP____19990910F017_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F017_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F017_V003/V1KRNP____19990910F017_V003_initial_mask.tif,V1KRNP____19990910F017_V003,V1KRNP____19990910F017_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F017_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F021_V003/V1KRNP____19990910F021_V003_initial_mask.tif,V1KRNP____19990910F021_V003,V1KRNP____19990910F021_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F021_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F021_V003/V1KRNP____19990910F021_V003.tif,V1KRNP____19990910F021_V003,V1KRNP____19990910F021_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F021_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F021_V003/V1KRNP____19990910F021_V003_cloud_mask.tif,V1KRNP____19990910F021_V003,V1KRNP____19990910F021_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F021_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F021_V003/V1KRNP____19990910F021_V003_cloud_mask_cnn.tif,V1KRNP____19990910F021_V003,V1KRNP____19990910F021_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F021_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F029_V003/V1KRNP____19990910F029_V003_cloud_mask.tif,V1KRNP____19990910F029_V003,V1KRNP____19990910F029_V003_cloud_mask,cloud_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F029_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F029_V003/V1KRNP____19990910F029_V003_cloud_mask_cnn.tif,V1KRNP____19990910F029_V003,V1KRNP____19990910F029_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F029_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F029_V003/V1KRNP____19990910F029_V003.tif,V1KRNP____19990910F029_V003,V1KRNP____19990910F029_V003,image,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F029_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F029_V003/V1KRNP____19990910F029_V003_initial_mask.tif,V1KRNP____19990910F029_V003,V1KRNP____19990910F029_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F029_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F028_V003/V1KRNP____19990910F028_V003_initial_mask.tif,V1KRNP____19990910F028_V003,V1KRNP____19990910F028_V003_initial_mask,initial_mask,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F028_V003.tortilla
/data/databases/spot_proba_cloud/CESAR_SPOT_VEGETATION/geotiff/1999_09_10/V1KRNP____19990910F028_V003/V1KRNP____19990910F028_V003_cloud_mask_cnn.tif,V1KRNP____19990910F028_V003,V1KRNP____19990910F028_V003_cloud_mask_cnn,mask_cnn,1999-09-10,/data/databases/Julio/spot/tortillas/V1KRNP____19990910F028_V003.tortilla
